fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
24,USA,MD,,state,,iso1:us#iso2:us-md,,6045680,0.055431363738485735,other,18.95332109633892,0.2443585587831941,1.11982125316,0.09999999999999987,0.4061433447098976,238,actual,784,actual,0.745985401459854,2,1,2,1,2,0,1,408229,8251,785216,8371116,1400,14456,9856,1248,0.72,1370,1022,238,0.66,1335,3335590,1791217,966962,2021-03-29,https://covidactnow.org/us/maryland-md,0.29628048457741724,0.15994263672572812,5,2648201
23,USA,ME,,state,,iso1:us#iso2:us-me,,1344212,0.03370445782610579,other,14.729819403486951,0.08686868686868687,1.04279862119,0.10000000000000009,0.23931623931623933,28,actual,224,actual,0.7390029325513197,2,1,2,2,1,0,1,49850,736,35584,1128480,86,3847,2321,88,0.63,341,252,28,0.7246753246750001,197,791220,446546,254300,2021-03-29,https://covidactnow.org/us/maine-me,0.33219908764391337,0.18918146839932987,0,673445
26,USA,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.1040537391908348,other,46.11489452015355,0.043427011601215953,1.2408914014499999,0.10000000000000009,0.3895055499495459,386,actual,1601,actual,0.7665895061728395,3,2,3,2,2,0,1,723324,17038,847567,10799740,1000,27031,18455,1956,0.61,2592,1987,386,0.776520051746,116,5249380,2725322,1616040,2021-03-29,https://covidactnow.org/us/michigan-mi,0.27289086045789984,0.16181667565681576,0,4214787
27,USA,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.05113033896961991,other,24.935770885151978,0.14620073140999595,1.130684297,0.10000000000000009,0.2541436464088398,92,actual,564,actual,0.7084233261339092,2,1,2,1,2,0,1,515136,6908,759565,9283544,1028,17693,7632,452,0.6,926,656,92,0.532017075774,1225,2907150,1703543,1001877,2021-03-29,https://covidactnow.org/us/minnesota-mn,0.3020663404988127,0.17764935726302705,5,2632176
29,USA,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.04230087691398973,other,11.389135644442591,0.026895565092989987,1.06664578112,0.09999999999999987,0.2953667953667954,153,actual,1233,actual,0.7915476870359794,2,1,2,2,1,0,1,583530,8943,331405,2814000,94,26185,13534,822,0.62,1751,1386,153,0.689096797409,336,3256125,1529606,868835,2021-03-29,https://covidactnow.org/us/missouri-mo,0.24922589723252153,0.1415633714969854,1,2430704
69,USA,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,0.5329993204258664,,,,,,,,,,0,4,0,4,4,4,4,159,2,330,28856,10,,,,,,,,,0,,,,2021-03-29,https://covidactnow.org/us/northern_mariana_islands-mp,,,0,
28,USA,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.03903958944281525,other,8.53931900394964,0.15739179314221471,0.8260177792260001,0.09999999999999998,0.2702702702702703,80,actual,539,actual,0.7413173652694611,1,1,1,1,0,0,1,304616,7001,154371,1151785,200,14398,5698,330,0.51,835,619,80,0.807865168539,196,1614655,704342,414910,2021-03-29,https://covidactnow.org/us/mississippi-ms,0.23666221012456026,0.1394117028414908,1,1094028
30,USA,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.039500111582236104,other,14.342147226619025,0.260950605778192,0.9761600921179999,0.11419107270200024,0.15217391304347827,14,actual,134,actual,0.6548672566371682,2,1,2,1,1,0,0,104184,1436,135719,928725,200,3639,2074,44,0.57,226,148,14,0.61,25,632625,316057,192701,2021-03-29,https://covidactnow.org/us/montana-mt,0.2957181004848528,0.1803003055826374,0,499029
37,USA,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.049841443859855845,other,17.094229440354813,0.1355378486055777,1.01734441195,0.10000000000000009,0.2690951821386604,229,actual,1632,actual,0.7494965767217077,2,1,2,1,1,0,1,906516,12051,901173,9093385,1215,29396,18059,976,0.64,2483,1861,229,0.77562210038,2192,5680940,2952779,1653037,2021-03-29,https://covidactnow.org/us/north_carolina-nc,0.28153655138536265,0.15761096116316384,2,4549839
38,USA,ND,,state,,iso1:us#iso2:us-nd,,762062,0.036145476225965124,other,17.490140472260038,0.7502679528403002,1.14299011654,0.1434324484399998,0.0761904761904762,8,actual,89,actual,0.5,2,1,2,1,2,0,0,102615,1498,79884,1188667,500,3991,1687,79,0.55,194,97,8,0.67,47,437720,236146,149705,2021-03-29,https://covidactnow.org/us/north_dakota-nd,0.3098776739950293,0.19644727069451043,0,397822
31,USA,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.0798168543497092,other,15.323994288101137,0.6746987951807228,1.0212701900399999,0.10000000000000009,0.14227642276422764,35,actual,329,actual,0.6330434782608696,2,1,2,1,1,0,0,208867,2281,295182,1554350,1000,7482,2856,123,0.53,575,364,35,0.638330757342,160,1072470,568784,328551,2021-03-29,https://covidactnow.org/us/nebraska-ne,0.2940351776874372,0.16984576159734657,0,881787
33,USA,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.03623106103627649,other,26.09798279613409,0.07890499194847021,1.1227363454000001,0.09999999999999987,0.13559322033898305,16,actual,164,actual,0.6382978723404256,3,1,3,2,2,0,0,83027,1237,68745,1579685,140,3472,2244,87,0.68,282,180,16,0.56,282,743355,408402,228288,2021-03-29,https://covidactnow.org/us/new_hampshire-nh,0.30035941461089893,0.16789450111089782,2,598445
34,USA,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.09199325574700827,other,49.47943179392856,0.13652320894552072,1.0740763075,0.10000000000000009,0.19071644803229063,378,actual,1050,actual,0.470976253298153,3,1,3,1,1,0,0,896650,24389,829203,10496620,3000,30568,17496,2257,0.69,3032,1428,378,0.176470588235,4505,4794085,2822580,1538648,2021-03-29,https://covidactnow.org/us/new_jersey-nj,0.3177797367541113,0.17322844929009626,7,4142916
35,USA,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.020221473278767454,other,8.9727324995437,0.3986332574031891,0.9471067052680001,0.10447848517199987,0.1949685534591195,31,actual,279,actual,0.7077625570776256,1,0,1,1,1,0,1,191048,3927,139580,1802600,375,5482,2984,131,0.59,438,310,31,0.59,161,1337435,778035,477055,2021-03-29,https://covidactnow.org/us/new_mexico-nm,0.3710531473954242,0.22751259163241255,0,1224826
32,USA,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.0499942082705896,other,8.79361768875157,0.44303797468354433,0.879018234848,0.09999999999999998,0.19195046439628483,62,actual,526,actual,0.6925795053003534,1,1,1,1,0,0,0,303093,5236,417923,2596007,600,9585,6264,315,0.68,849,588,62,0.79,142,1548430,828805,472434,2021-03-29,https://covidactnow.org/us/nevada-nv,0.26907890379578175,0.15337989374564145,0,1303006
36,USA,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.05409688502351763,other,39.39295912626657,0.2510656807307525,1.03260237401,0.10000000000000009,0.3414285714285714,956,actual,2775,actual,0.6692376681614349,3,1,3,1,1,0,0,1849190,49537,1980852,33446250,9620,62862,40191,5483,0.74,5575,3731,956,0.63,8852,11109840,5761882,2960695,2021-03-29,https://covidactnow.org/us/new_york-ny,0.29618649253984913,0.15219295839975006,91,8654504
